Mesh #,Combination #,KSP Type,PC Mass,PC Interface,Converged,Krylov Iters,Construction Time (s),Solve Time (s),Total Time (s),Tic Toc Time (s),Solver Label,Adjusted Time (s)
46,8,bcgs,lu,ilu,True,4.0,0.006195068359375,0.0008385181427001953,0.007033586502075195,0.22113442420959473,bcgs + lu + ilu,0.007033586502075195
46,9,bcgs,sor,ilu,True,45.0,0.003214120864868164,0.004676342010498047,0.007890462875366211,0.1641099452972412,bcgs + sor + ilu,0.007890462875366211
46,10,bcgs,jacobi,ilu,True,104.0,0.006638765335083008,0.009557962417602539,0.016196727752685547,0.17510175704956055,bcgs + jacobi + ilu,0.016196727752685547
46,11,bcgs,bjacobi,ilu,True,26.0,0.0026900768280029297,0.002383708953857422,0.0050737857818603516,0.16507673263549805,bcgs + bjacobi + ilu,0.0050737857818603516
46,12,bcgs,asm,ilu,True,26.0,0.0029883384704589844,0.0024001598358154297,0.005388498306274414,0.15036869049072266,bcgs + asm + ilu,0.005388498306274414
46,13,bcgs,gamg,ilu,True,15.0,0.009570121765136719,0.004849672317504883,0.014419794082641602,0.1776278018951416,bcgs + gamg + ilu,0.014419794082641602
46,14,tfqmr,ilu,ilu,True,57.0,0.003165006637573242,0.0022988319396972656,0.005463838577270508,0.1415419578552246,tfqmr + ilu + ilu,0.005463838577270508
46,15,tfqmr,lu,ilu,True,6.0,0.0076558589935302734,0.0009572505950927734,0.008613109588623047,0.1717243194580078,tfqmr + lu + ilu,0.008613109588623047
46,16,tfqmr,sor,ilu,True,92.0,0.0026378631591796875,0.004152774810791016,0.006790637969970703,0.1607367992401123,tfqmr + sor + ilu,0.006790637969970703
46,17,tfqmr,jacobi,ilu,False,,,,,,tfqmr + jacobi + ilu,1.784660816192627
46,18,tfqmr,bjacobi,ilu,True,57.0,0.0025739669799804688,0.0027205944061279297,0.0052945613861083984,0.14405155181884766,tfqmr + bjacobi + ilu,0.0052945613861083984
46,19,tfqmr,asm,ilu,True,57.0,0.0028314590454101562,0.0029816627502441406,0.005813121795654297,0.13186192512512207,tfqmr + asm + ilu,0.005813121795654297
46,20,tfqmr,gamg,ilu,True,30.0,0.006808280944824219,0.004233121871948242,0.011041402816772461,0.23911690711975098,tfqmr + gamg + ilu,0.011041402816772461
47,0,gmres,ilu,ilu,True,25.0,0.0018773078918457031,0.0010035037994384766,0.0028808116912841797,0.16284704208374023,gmres + ilu + ilu,0.0028808116912841797
47,1,gmres,lu,ilu,True,6.0,0.003032207489013672,0.00035381317138671875,0.0033860206604003906,0.16105151176452637,gmres + lu + ilu,0.0033860206604003906
47,2,gmres,sor,ilu,True,44.0,0.0017004013061523438,0.0015702247619628906,0.0032706260681152344,0.11286616325378418,gmres + sor + ilu,0.0032706260681152344
47,3,gmres,jacobi,ilu,False,,,,,,gmres + jacobi + ilu,1.784660816192627
47,4,gmres,bjacobi,ilu,True,25.0,0.005407810211181641,0.0036766529083251953,0.009084463119506836,0.16134023666381836,gmres + bjacobi + ilu,0.009084463119506836
47,5,gmres,asm,ilu,True,25.0,0.002796649932861328,0.0016412734985351562,0.004437923431396484,0.18627524375915527,gmres + asm + ilu,0.004437923431396484
47,6,gmres,gamg,ilu,True,15.0,0.0036773681640625,0.0011675357818603516,0.0048449039459228516,0.1195526123046875,gmres + gamg + ilu,0.0048449039459228516
47,7,bcgs,ilu,ilu,True,18.0,0.0018668174743652344,0.0006058216094970703,0.0024726390838623047,0.13277006149291992,bcgs + ilu + ilu,0.0024726390838623047
47,8,bcgs,lu,ilu,True,5.0,0.0029189586639404297,0.00042438507080078125,0.003343343734741211,0.1460564136505127,bcgs + lu + ilu,0.003343343734741211
47,9,bcgs,sor,ilu,True,30.0,0.0017261505126953125,0.0010440349578857422,0.0027701854705810547,0.15230917930603027,bcgs + sor + ilu,0.0027701854705810547
47,10,bcgs,jacobi,ilu,True,56.0,0.0016939640045166016,0.0012774467468261719,0.0029714107513427734,0.13290023803710938,bcgs + jacobi + ilu,0.0029714107513427734
47,11,bcgs,bjacobi,ilu,True,18.0,0.0018815994262695312,0.0007648468017578125,0.0026464462280273438,0.1553044319152832,bcgs + bjacobi + ilu,0.0026464462280273438
47,12,bcgs,asm,ilu,True,18.0,0.002123117446899414,0.0008101463317871094,0.0029332637786865234,0.11446595191955566,bcgs + asm + ilu,0.0029332637786865234
47,13,bcgs,gamg,ilu,True,9.0,0.0036935806274414062,0.000989675521850586,0.004683256149291992,0.138824462890625,bcgs + gamg + ilu,0.004683256149291992
47,14,tfqmr,ilu,ilu,True,36.0,0.0018031597137451172,0.0006878376007080078,0.002490997314453125,0.12339568138122559,tfqmr + ilu + ilu,0.002490997314453125
47,15,tfqmr,lu,ilu,True,9.0,0.011044979095458984,0.0016787052154541016,0.012723684310913086,0.15437650680541992,tfqmr + lu + ilu,0.012723684310913086
